Image Name,Dice Score Class 0,Dice Score Class 1,Dice Score Class 2,Dice Score Class 3,Dice Score Class 4,Dice Score Class 5
0_cfd,0.9936947584250155,0.8939566703825582,0.7980030720433942,0.9250110928967592,0.6129032250460258,0.6412391737772752
100_cfd,0.9859104849083538,0.829013063373606,0.805862689430223,0.9166531799778842,0.5940594051003403,0.8549864314064631
101_cfd,0.991956341002155,0.9052049283054274,0.8036253774567451,0.9030868627237819,0.6241134740707208,0.8672712282572993
102_cfd,0.9893229910731017,0.8670144767001687,0.8019292601923057,0.9036827193638844,0.5313653126727578,0.8913225057177426
103_cfd,0.9915589050625995,0.8891360021266634,0.8049733567300272,0.9094472753999515,0.7249190926781245,0.8156182210615526
104_cfd,0.9895731266129414,0.8090495161824582,0.7902458364809187,0.8859154928017754,0.5017182121963605,0.8588610700958688
105_cfd,0.9901105837773827,0.9025039378387241,0.771814829671522,0.9075698835120241,0.6593886448484965,0.8968678379464293
106_cfd,0.9897627363583312,0.844559394020153,0.7539961010705668,0.8850881878981592,0.3963133631421351,0.0
107_cfd,0.987759570230337,0.8757854035440463,0.7817631804706647,0.8996160173889896,0.680972817337664,0.8190021626654485
108_cfd,0.9924372344353797,0.8981834221879864,0.8200165881061607,0.9152030215457595,0.5709342550675878,0.8720838793090322
109_cfd,0.9933515372106224,0.8990086740551937,0.8344681848240272,0.9078870494823977,0.6563814857554257,0.8564961520080923
10_cfd,0.9945141654747968,0.8833676438643169,0.8298314475110063,0.9164897379836359,0.4841498552101587,0.8538729936002968
110_cfd,0.9943577978814742,0.8724448077901032,0.8217620785989114,0.9123005223962293,0.538987687361166,0.8765027321340009
111_cfd,0.9943085691738919,0.9077007099325709,0.8751164956022561,0.9317880793159291,0.7259475208076567,0.884914463376109
112_cfd,0.9926320140733462,0.8745699092352474,0.7728431014246736,0.8800403224327888,0.5965665229650574,0.8758782200801847
113_cfd,0.9931815474580866,0.844892629073934,0.8113356072392193,0.9072235534222486,0.6160337539746124,0.9171804203433721
114_cfd,0.9933111558176336,0.9120840216596598,0.8554482757440761,0.9021986351929948,0.7054026496377139,0.888844004518357
115_cfd,0.9939972096464779,0.9132898534741104,0.8271918676774265,0.8998282768746749,0.6512396683450584,0.9081088763479419
116_cfd,0.991199991634888,0.8733493975482723,0.8075880756817965,0.9039505708848622,0.6630434773599952,0.8764149069387426
117_cfd,0.9914683297878135,0.8795663445260633,0.8638012837198156,0.9198387817704375,0.7054478294501866,0.8878298106860181
118_cfd,0.993104948248437,0.8956969129504386,0.8343987822169865,0.8809232381743446,0.7098703881257523,0.8972842332317443
119_cfd,0.9926530275851564,0.8708053690753352,0.8442976883809252,0.9046410440709497,0.6964028766958232,0.8842906802777445
11_cfd,0.9942907868236258,0.9145805464879333,0.7841704716029922,0.9067178501138736,0.4822134377821869,0.0
120_cfd,0.9943881679788166,0.8818708491675943,0.8159305588930481,0.9130917158074904,0.6153846143774393,0.8778042958379708
121_cfd,0.9927881316082949,0.8788383469928782,0.8469329255022103,0.8973886327346561,0.6593673957915238,0.8771809195636286
122_cfd,0.9936489725656232,0.8852030947347581,0.7876151482119715,0.8826707833109473,0.5599999992275863,0.800985394896888
123_cfd,0.9929141946688897,0.8884907641385994,0.8643523919392718,0.9005881507817259,0.766990290517485,0.8816065048120237
124_cfd,0.9944454838605307,0.8890445066223899,0.8137016572787399,0.9039429528305488,0.5871559624049603,0.6811594201356069
125_cfd,0.993225704334787,0.834461893038866,0.8098095484451319,0.9277822256320605,0.5494949483848587,0.9065567333228742
126_cfd,0.9933773168363881,0.9262886138642265,0.8305785122406877,0.8912756112208731,0.7298578190404528,0.8715589051272067
127_cfd,0.9951070014046693,0.8731015021268901,0.8229294163967912,0.9022860609139619,0.6030664384956279,0.8971475913247546
128_cfd,0.9930945927234284,0.9043112512763697,0.8093438678085387,0.9067088319614391,0.633273701908276,0.8737367586906445
129_cfd,0.9928955306446198,0.891668155506422,0.8202308958712945,0.9048128340633131,0.5674418595853614,0.8782143125798797
12_cfd,0.9920878312050374,0.863605019937691,0.8188115200840664,0.9333748441884534,0.39922480542785893,0.7805825241771137
130_cfd,0.9928871086378117,0.8889905319082929,0.8540190944173053,0.9249852331770547,0.5888157885052372,0.892865335983842
131_cfd,0.993210818729281,0.8207211781936075,0.825933202195298,0.9020251777226737,0.5141843962514461,0.8688935699800487
132_cfd,0.9929366247299231,0.8593385480403912,0.8394077447552095,0.8957315084888022,0.6540697664911777,0.8928495348368352
133_cfd,0.9832337026028397,0.7646290600849042,0.778572977493261,0.90743316320392,0.5684454749786015,0.8554861730052576
134_cfd,0.9936111870547258,0.7814377459310713,0.8214055445450015,0.9157348240982957,0.5952813056346982,0.8692190608981127
135_cfd,0.9932182619222429,0.8941276514908051,0.836958198235854,0.9181028342233153,0.6258741247799403,0.88110978640066
136_cfd,0.992274100028428,0.907416383866945,0.8428336077688906,0.9061224488475039,0.7287128705656308,0.8724799999302015
137_cfd,0.993476519127152,0.8220868858447351,0.8185152836998226,0.8859223299434947,0.6808510631054776,0.8259192593435434
138_cfd,0.9916519525294796,0.8209912535844759,0.8272058822008812,0.9166800448038721,0.44708423277852677,0.8800513148648353
139_cfd,0.9932442310324873,0.872681337618996,0.8441598999306433,0.8973458234002056,0.7473560508256686,0.8705504504531582
13_cfd,0.9948718572616349,0.8915717800027709,0.778678038047472,0.9229898073003039,0.48837209207679827,0.8734292477010691
140_cfd,0.9931931784145985,0.8834003445833951,0.8151116196865736,0.9187632032036175,0.48184818402335283,0.8579910934119258
