Image Name,Dice Score Class 0,Dice Score Class 1,Dice Score Class 2,Dice Score Class 3,Dice Score Class 4,Dice Score Class 5
0_cfd,0.9940376423090963,0.9008037824207278,0.8547008545420474,0.9490219322837845,0.6650124061228134,0.6844833170255129
100_cfd,0.9876390736817573,0.8524186572342665,0.8585707144281433,0.944876783244994,0.6930693059503971,0.8812551609511763
101_cfd,0.9924855248783409,0.9068594603806432,0.8492655365312394,0.9339554915768206,0.6979166654550057,0.9129032257012784
102_cfd,0.9906734442564314,0.8790153512923847,0.8499845342251827,0.929468990488555,0.6228373691646413,0.9273496412610494
103_cfd,0.9921600522503871,0.901646843520401,0.859418282250894,0.9376866412626544,0.7515723258623077,0.8384160216571651
104_cfd,0.9899347746892073,0.8080779550530491,0.8462569402936517,0.9191595439958761,0.5532646038603701,0.9001910218600536
105_cfd,0.9907218557970502,0.9074123628336256,0.832802547439171,0.9236139628493605,0.7429805599503659,0.9100032026358489
106_cfd,0.9896531184927947,0.8635462832535745,0.7879968820000013,0.9207365890256908,0.511434510371238,0.0
107_cfd,0.9905126882958901,0.8932488687459458,0.8372577618592919,0.9238165678765131,0.7539118054709647,0.9004968257728059
108_cfd,0.9920475733658239,0.8882911392053682,0.8561460008437611,0.9233396582688159,0.6699669955941139,0.8757700204214873
109_cfd,0.9935700330545773,0.8918539325395338,0.8666819115328876,0.9350039152437345,0.7005494495871574,0.8892877172305902
10_cfd,0.9945656150142778,0.8779041027556032,0.8728001780189796,0.9536257831775066,0.5521126752787145,0.8621588258315513
110_cfd,0.9942758839591749,0.8647771087827385,0.857481247363308,0.9443498011152257,0.596256683694844,0.889260942251942
111_cfd,0.9940261272145271,0.8974254741939414,0.9097555401165739,0.9549759094608778,0.7787114835032052,0.8839732179944085
112_cfd,0.9936651320107565,0.8819253557582356,0.824362606086338,0.9144403109715183,0.6265822778200609,0.9165196144348772
113_cfd,0.993403368595527,0.8238892934578376,0.8492103920404457,0.9132153289374092,0.728712869844133,0.9361857475951967
114_cfd,0.9934223756514918,0.8984568264284098,0.8866282959594929,0.9242031415396975,0.7322834638461777,0.9104096708589382
115_cfd,0.9940381276702609,0.8934154428710239,0.8741131155738672,0.916892152895846,0.7346278305264922,0.9369445619313764
116_cfd,0.991801957733113,0.8699186991453889,0.853857211103532,0.9364248315376916,0.69908015676862,0.9150215713874348
117_cfd,0.9900008033160338,0.8484342379564632,0.8889783862412433,0.945394539312122,0.7709090902082644,0.8983425413744238
118_cfd,0.992847733158678,0.8804641276994392,0.8722842042172219,0.9177092509396106,0.7819548864831251,0.9217380336178509
